Completion Note,Keywords for 1,Keywords for 2,Keywords for 3
"Loaner in place 

Affected oven removed

Oven needs parts

MerryChef:P30Z1415
TOSHIBA MAGNETRON 2M303Н
MerryChef:PSR141
e2s ×2 STIRR&P/PLATE KIT DUAL MAG KIT
MerryChef:PSR317
e2s WIGUIDE&P/PLATE KIT

Menu Updated

MOD Peach

Merrychef 
VAC 208
AMPS 9.0,9.1
COMBINED 18.1
HEATER AMPS 10.9
Faults: Food Not Cooking Properly/Loud Noises

Notes:
Tech observed food not cooking properly and discovered contamination in waveguides and damaged magnetrons
Tech Replaced microwave components 
Conducted Op Test 
All Tests Passed","['cooking', 'food', '109faults', '181heater', '208amps', '2m303нmerrychefpsr141e2s', '9091combined', 'affected', 'amps', 'component', 'conduct', 'contamination', 'damage', 'discover', 'dual', 'kit', 'kitmenu', 'kitmerrychefpsr317e2s', 'loaner', 'mag', 'magnetron', 'magnetronstech', 'microwave', 'need', 'noisesnotestech', 'observed', 'op', 'oven', 'partsmerrychefp30z1415toshiba', 'pass', 'peachmerrychef', 'place', 'properly', 'properlyloud', 'removedoven', 'replace', 'stirrpplate', 'test', 'tests', 'updatedmod', 'vac', 'waveguide', 'wiguidepplate']","['109faults food', '181heater amps', '208amps 9091combined', '2m303нmerrychefpsr141e2s stirrpplate', '9091combined 181heater', 'affected oven', 'amps 109faults', 'component conduct', 'conduct op', 'contamination waveguide', 'cooking properly', 'cooking properlyloud', 'damage magnetronstech', 'discover contamination', 'dual mag', 'food cooking', 'kit dual', 'kitmenu updatedmod', 'kitmerrychefpsr317e2s wiguidepplate', 'loaner place', 'mag kitmerrychefpsr317e2s', 'magnetron 2m303нmerrychefpsr141e2s', 'magnetronstech replace', 'microwave component', 'need partsmerrychefp30z1415toshiba', 'noisesnotestech observed', 'observed food', 'op test', 'oven removedoven', 'partsmerrychefp30z1415toshiba magnetron', 'peachmerrychef vac', 'place affected', 'properly discover', 'properlyloud noisesnotestech', 'removedoven need', 'replace microwave', 'stirrpplate kit', 'test tests', 'tests pass', 'updatedmod peachmerrychef', 'vac 208amps', 'waveguide damage', 'wiguidepplate kitmenu']","['109faults food cooking', '181heater amps 109faults', '208amps 9091combined 181heater', '2m303нmerrychefpsr141e2s stirrpplate kit', '9091combined 181heater amps', 'affected oven removedoven', 'amps 109faults food', 'component conduct op', 'conduct op test', 'contamination waveguide damage', 'cooking properly discover', 'cooking properlyloud noisesnotestech', 'damage magnetronstech replace', 'discover contamination waveguide', 'dual mag kitmerrychefpsr317e2s', 'food cooking properly', 'food cooking properlyloud', 'kit dual mag', 'kitmenu updatedmod peachmerrychef', 'kitmerrychefpsr317e2s wiguidepplate kitmenu', 'loaner place affected', 'mag kitmerrychefpsr317e2s wiguidepplate', 'magnetron 2m303нmerrychefpsr141e2s stirrpplate', 'magnetronstech replace microwave', 'microwave component conduct', 'need partsmerrychefp30z1415toshiba magnetron', 'noisesnotestech observed food', 'observed food cooking', 'op test tests', 'oven removedoven need', 'partsmerrychefp30z1415toshiba magnetron 2m303нmerrychefpsr141e2s', 'peachmerrychef vac 208amps', 'place affected oven', 'properly discover contamination', 'properlyloud noisesnotestech observed', 'removedoven need partsmerrychefp30z1415toshiba', 'replace microwave component', 'stirrpplate kit dual', 'test tests pass', 'updatedmod peachmerrychef vac', 'vac 208amps 9091combined', 'waveguide damage magnetronstech', 'wiguidepplate kitmenu updatedmod']"
"Loaner in place 

Affected oven removed

Oven needs parts

MerryChef:P30Z1415
TOSHIBA MAGNETRON 2M303Н
MerryChef:PSR141
e2s ×2 STIRR&P/PLATE KIT DUAL MAG KIT
MerryChef:PSR317
e2s WIGUIDE&P/PLATE KIT

Menu Updated

MOD Peach

Merrychef 
VAC 208
AMPS 9.0,9.1
COMBINED 18.1
HEATER AMPS 10.9
Faults: Food Not Cooking Properly/Loud Noises

Notes:
Tech observed food not cooking properly and discovered contamination in waveguides and damaged magnetrons
Tech Replaced microwave components 
Conducted Op Test 
All Tests Passed","['cooking', 'food', '109faults', '181heater', '208amps', '2m303нmerrychefpsr141e2s', '9091combined', 'affected', 'amps', 'component', 'conduct', 'contamination', 'damage', 'discover', 'dual', 'kit', 'kitmenu', 'kitmerrychefpsr317e2s', 'loaner', 'mag', 'magnetron', 'magnetronstech', 'microwave', 'need', 'noisesnotestech', 'observed', 'op', 'oven', 'partsmerrychefp30z1415toshiba', 'pass', 'peachmerrychef', 'place', 'properly', 'properlyloud', 'removedoven', 'replace', 'stirrpplate', 'test', 'tests', 'updatedmod', 'vac', 'waveguide', 'wiguidepplate']","['109faults food', '181heater amps', '208amps 9091combined', '2m303нmerrychefpsr141e2s stirrpplate', '9091combined 181heater', 'affected oven', 'amps 109faults', 'component conduct', 'conduct op', 'contamination waveguide', 'cooking properly', 'cooking properlyloud', 'damage magnetronstech', 'discover contamination', 'dual mag', 'food cooking', 'kit dual', 'kitmenu updatedmod', 'kitmerrychefpsr317e2s wiguidepplate', 'loaner place', 'mag kitmerrychefpsr317e2s', 'magnetron 2m303нmerrychefpsr141e2s', 'magnetronstech replace', 'microwave component', 'need partsmerrychefp30z1415toshiba', 'noisesnotestech observed', 'observed food', 'op test', 'oven removedoven', 'partsmerrychefp30z1415toshiba magnetron', 'peachmerrychef vac', 'place affected', 'properly discover', 'properlyloud noisesnotestech', 'removedoven need', 'replace microwave', 'stirrpplate kit', 'test tests', 'tests pass', 'updatedmod peachmerrychef', 'vac 208amps', 'waveguide damage', 'wiguidepplate kitmenu']","['109faults food cooking', '181heater amps 109faults', '208amps 9091combined 181heater', '2m303нmerrychefpsr141e2s stirrpplate kit', '9091combined 181heater amps', 'affected oven removedoven', 'amps 109faults food', 'component conduct op', 'conduct op test', 'contamination waveguide damage', 'cooking properly discover', 'cooking properlyloud noisesnotestech', 'damage magnetronstech replace', 'discover contamination waveguide', 'dual mag kitmerrychefpsr317e2s', 'food cooking properly', 'food cooking properlyloud', 'kit dual mag', 'kitmenu updatedmod peachmerrychef', 'kitmerrychefpsr317e2s wiguidepplate kitmenu', 'loaner place affected', 'mag kitmerrychefpsr317e2s wiguidepplate', 'magnetron 2m303нmerrychefpsr141e2s stirrpplate', 'magnetronstech replace microwave', 'microwave component conduct', 'need partsmerrychefp30z1415toshiba magnetron', 'noisesnotestech observed food', 'observed food cooking', 'op test tests', 'oven removedoven need', 'partsmerrychefp30z1415toshiba magnetron 2m303нmerrychefpsr141e2s', 'peachmerrychef vac 208amps', 'place affected oven', 'properly discover contamination', 'properlyloud noisesnotestech observed', 'removedoven need partsmerrychefp30z1415toshiba', 'replace microwave component', 'stirrpplate kit dual', 'test tests pass', 'updatedmod peachmerrychef vac', 'vac 208amps 9091combined', 'waveguide damage magnetronstech', 'wiguidepplate kitmenu updatedmod']"
"MOD Peach 

Merrychef 
VAC 208
AMPS 8.5,8.5
COMBINED 17.5
HEATER AMPS 10.6
Faults: 

Notes:
Tech observed deteriorating cook plate and stubs 
Tech Replaced Cook plate and stubs 
Conducted Op Test 
All Tests Passed","['cook', 'plate', 'stub', '106fault', '175heater', '208amps', '8585combined', 'amps', 'conduct', 'deteriorate', 'merrychef', 'mod', 'notestech', 'observe', 'op', 'pass', 'peach', 'replaced', 'tech', 'test', 'tests', 'vac']","['106fault notestech', '175heater amps', '208amps 8585combined', '8585combined 175heater', 'amps 106fault', 'conduct op', 'cook plate', 'deteriorate cook', 'merrychef vac', 'mod peach', 'notestech observe', 'observe deteriorate', 'op test', 'peach merrychef', 'plate stub', 'replaced cook', 'stub conduct', 'stub tech', 'tech replaced', 'test tests', 'tests pass', 'vac 208amps']","['106fault notestech observe', '175heater amps 106fault', '208amps 8585combined 175heater', '8585combined 175heater amps', 'amps 106fault notestech', 'conduct op test', 'cook plate stub', 'deteriorate cook plate', 'merrychef vac 208amps', 'mod peach merrychef', 'notestech observe deteriorate', 'observe deteriorate cook', 'op test tests', 'peach merrychef vac', 'plate stub conduct', 'plate stub tech', 'replaced cook plate', 'stub conduct op', 'stub tech replaced', 'tech replaced cook', 'test tests pass', 'vac 208amps 8585combined']"
"MOD Peach 

Merrychef 
VAC 208
AMPS 8.5,8.5
COMBINED 17.5
HEATER AMPS 10.6
Faults: 

Notes:
Tech observed deteriorating cook plate and stubs 
Tech Replaced Cook plate and stubs 
Conducted Op Test 
All Tests Passed","['cook', 'plate', 'stub', '106fault', '175heater', '208amps', '8585combined', 'amps', 'conduct', 'deteriorate', 'merrychef', 'mod', 'notestech', 'observe', 'op', 'pass', 'peach', 'replaced', 'tech', 'test', 'tests', 'vac']","['106fault notestech', '175heater amps', '208amps 8585combined', '8585combined 175heater', 'amps 106fault', 'conduct op', 'cook plate', 'deteriorate cook', 'merrychef vac', 'mod peach', 'notestech observe', 'observe deteriorate', 'op test', 'peach merrychef', 'plate stub', 'replaced cook', 'stub conduct', 'stub tech', 'tech replaced', 'test tests', 'tests pass', 'vac 208amps']","['106fault notestech observe', '175heater amps 106fault', '208amps 8585combined 175heater', '8585combined 175heater amps', 'amps 106fault notestech', 'conduct op test', 'cook plate stub', 'deteriorate cook plate', 'merrychef vac 208amps', 'mod peach merrychef', 'notestech observe deteriorate', 'observe deteriorate cook', 'op test tests', 'peach merrychef vac', 'plate stub conduct', 'plate stub tech', 'replaced cook plate', 'stub conduct op', 'stub tech replaced', 'tech replaced cook', 'test tests pass', 'vac 208amps 8585combined']"
"MOD Chandler

Merrychef 
VAC 208
AMPS 8.7,8.8
COMBINED 17.5
HEATER AMPS 10.8
Faults: none 

Notes:
Tech observed power cord not fully plugged into outlet
Tech plugged oven power cord into outlet 
Conducted Op Test 
All Tests Passed","['cord', 'plug', 'power', '108faults', '175heater', '208amps', '8788combined', 'amps', 'chandlermerrychef', 'conducted', 'fully', 'mod', 'notestech', 'observe', 'op', 'outlet', 'outlettech', 'oven', 'pass', 'test', 'tests', 'vac']","['108faults notestech', '175heater amps', '208amps 8788combined', '8788combined 175heater', 'amps 108faults', 'chandlermerrychef vac', 'conducted op', 'cord fully', 'cord outlet', 'fully plug', 'mod chandlermerrychef', 'notestech observe', 'observe power', 'op test', 'outlet conducted', 'outlettech plug', 'oven power', 'plug outlettech', 'plug oven', 'power cord', 'test tests', 'tests pass', 'vac 208amps']","['108faults notestech observe', '175heater amps 108faults', '208amps 8788combined 175heater', '8788combined 175heater amps', 'amps 108faults notestech', 'chandlermerrychef vac 208amps', 'conducted op test', 'cord fully plug', 'cord outlet conducted', 'fully plug outlettech', 'mod chandlermerrychef vac', 'notestech observe power', 'observe power cord', 'op test tests', 'outlet conducted op', 'outlettech plug oven', 'oven power cord', 'plug outlettech plug', 'plug oven power', 'power cord fully', 'power cord outlet', 'test tests pass', 'vac 208amps 8788combined']"
Unit is working properly. Had paper covering air intake.,"['air', 'cover', 'intake', 'paper', 'properly', 'unit', 'work']","['air intake', 'cover air', 'paper cover', 'properly paper', 'unit work', 'work properly']","['cover air intake', 'paper cover air', 'properly paper cover', 'unit work properly', 'work properly paper']"
Resolved over the phone,"['phone', 'resolve']",['resolve phone'],[]
"Completed 1/15/21 @ 945am 
Oven 2 of 2 

Left oven
208 vac
L mag 8.2 amps 
R mag 8.2 amps 
Heater 10.6 amps 

Notes 
Cook plate and studs burnt out 
Replaced on-site 
Job completed","['amp', '82', 'complete', 'mag', '106', '11521', '945am', 'burn', 'cook', 'heater', 'job', 'leave', 'notes', 'onsite', 'oven', 'oven208', 'plate', 'replaced', 'stud', 'vacl']","['106 amp', '11521 945am', '82 amp', '945am oven', 'amp heater', 'amp mag', 'amp notes', 'burn replaced', 'complete 11521', 'cook plate', 'heater 106', 'job complete', 'leave oven208', 'mag 82', 'notes cook', 'onsite job', 'oven leave', 'oven208 vacl', 'plate stud', 'replaced onsite', 'stud burn', 'vacl mag']","['106 amp notes', '11521 945am oven', '82 amp heater', '82 amp mag', '945am oven leave', 'amp heater 106', 'amp mag 82', 'amp notes cook', 'burn replaced onsite', 'complete 11521 945am', 'cook plate stud', 'heater 106 amp', 'leave oven208 vacl', 'mag 82 amp', 'notes cook plate', 'onsite job complete', 'oven leave oven208', 'oven208 vacl mag', 'plate stud burn', 'replaced onsite job', 'stud burn replaced', 'vacl mag 82']"
"Completed 1/15/21 @ 945am 
Oven 2 of 2 

Left oven
208 vac
L mag 8.2 amps 
R mag 8.2 amps 
Heater 10.6 amps 

Notes 
Cook plate and studs burnt out 
Replaced on-site 
Job completed","['amp', '82', 'complete', 'mag', '106', '11521', '945am', 'burn', 'cook', 'heater', 'job', 'leave', 'notes', 'onsite', 'oven', 'oven208', 'plate', 'replaced', 'stud', 'vacl']","['106 amp', '11521 945am', '82 amp', '945am oven', 'amp heater', 'amp mag', 'amp notes', 'burn replaced', 'complete 11521', 'cook plate', 'heater 106', 'job complete', 'leave oven208', 'mag 82', 'notes cook', 'onsite job', 'oven leave', 'oven208 vacl', 'plate stud', 'replaced onsite', 'stud burn', 'vacl mag']","['106 amp notes', '11521 945am oven', '82 amp heater', '82 amp mag', '945am oven leave', 'amp heater 106', 'amp mag 82', 'amp notes cook', 'burn replaced onsite', 'complete 11521 945am', 'cook plate stud', 'heater 106 amp', 'leave oven208 vacl', 'mag 82 amp', 'notes cook plate', 'onsite job complete', 'oven leave oven208', 'oven208 vacl mag', 'plate stud burn', 'replaced onsite job', 'stud burn replaced', 'vacl mag 82']"
"Completed 02/21/2022

S/N# 2006213090138

L amps 8.2

R amps 8.2

Notes—Door switches are fine and door is working properly. Faults for filter on error log. Made adjustments with door. All tests passed","['door', 'amp', '02212022sn', '2006213090138l', '82note', '82r', 'adjustment', 'complete', 'error', 'faults', 'filter', 'log', 'make', 'pass', 'properly', 'switch', 'test', 'work']","['02212022sn 2006213090138l', '2006213090138l amp', '82note door', '82r amp', 'adjustment door', 'amp 82note', 'amp 82r', 'complete 02212022sn', 'door switch', 'door test', 'door work', 'error log', 'faults filter', 'filter error', 'log make', 'make adjustment', 'properly faults', 'switch door', 'test pass', 'work properly']","['02212022sn 2006213090138l amp', '2006213090138l amp 82r', '82note door switch', '82r amp 82note', 'adjustment door test', 'amp 82note door', 'amp 82r amp', 'complete 02212022sn 2006213090138l', 'door switch door', 'door test pass', 'door work properly', 'error log make', 'faults filter error', 'filter error log', 'log make adjustment', 'make adjustment door', 'properly faults filter', 'switch door work', 'work properly faults']"
"Completed 4/8/2022

S/N#2006213090138

L amps—8.5

R amps—8.5

Heaters—10.7

Faults—0

Notes—amps are good. Voltage is good. Nothing appears to be broken or needing to be replaced. I explained to the customer how to clean the oven properly and to give us a call if problem worsens","['good', '482022sn', 'amp', 'appear', 'break', 'clean', 'complete', 'customer', 'explain', 'need', 'oven', 'problem', 'properly', 'replace', 'voltage', 'worsen', '0note', '107faults', '85heaters', '85r', 'amps']","['0note amp', '107faults 0note', '482022sn amps', '85heaters 107faults', '85r amps', 'amp good', 'amps 85heaters', 'amps 85r', 'appear break', 'break need', 'clean oven', 'complete 482022sn', 'customer clean', 'explain customer', 'good appear', 'good voltage', 'need replace', 'oven properly', 'problem worsen', 'properly problem', 'replace explain', 'voltage good']","['0note amp good', '107faults 0note amp', '482022sn amps 85r', '85heaters 107faults 0note', '85r amps 85heaters', 'amp good voltage', 'amps 85heaters 107faults', 'amps 85r amps', 'appear break need', 'break need replace', 'clean oven properly', 'complete 482022sn amps', 'customer clean oven', 'explain customer clean', 'good appear break', 'good voltage good', 'need replace explain', 'oven properly problem', 'properly problem worsen', 'replace explain customer', 'voltage good appear']"
